+----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------+
|    | vid_name     |   tow |   vid_presence_precision |   vid_presence_recall |   vid_num_predicted |   vid_num_gt |   vid_mse |   true_positives |   false_positives |   false_negatives |   individual_recall |   proportion_saved_frames |   num_included_frames |   saved_frames |   num_instances |   num_detected |   vid_frames |   num_gt_frames |
|----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------|
| 15 | T16_REC_0001 |    16 |                     0.35 |                  0.89 |                   1 |            7 |        36 |              691 |              1289 |                87 |                1    |                      0.89 |                  1980 |          16053 |               7 |              7 |        18033 |             778 |
| 20 | T16_REC_0002 |    16 |                     0.07 |                  0.9  |                   1 |            7 |        36 |              197 |              2568 |                21 |                1    |                      0.85 |                  2765 |          15268 |               7 |              7 |        18033 |             218 |
| 30 | T16_REC_0003 |    16 |                     0.4  |                  0.94 |                   1 |            8 |        49 |             1462 |              2227 |               101 |                1    |                      0.8  |                  3689 |          14344 |               8 |              8 |        18033 |            1563 |
| 17 | T16_REC_0004 |    16 |                     0.18 |                  0.88 |                   1 |           15 |       196 |              647 |              2922 |                92 |                1    |                      0.8  |                  3569 |          14464 |              15 |             15 |        18033 |             739 |
| 40 | T16_REC_0005 |    16 |                     0.1  |                  0.85 |                   1 |           11 |       100 |              483 |              4253 |                88 |                1    |                      0.74 |                  4736 |          13297 |              11 |             11 |        18033 |             571 |
| 43 | T16_REC_0006 |    16 |                     0.07 |                  0.89 |                   1 |           11 |       100 |              256 |              3314 |                31 |                1    |                      0.8  |                  3570 |          14463 |              11 |             11 |        18033 |             287 |
| 28 | T16_REC_0007 |    16 |                     0.1  |                  0.93 |                   1 |            7 |        36 |              206 |              1771 |                15 |                1    |                      0.89 |                  1977 |          16056 |               7 |              7 |        18033 |             221 |
| 16 | T16_REC_0008 |    16 |                     0.07 |                  0.9  |                   1 |            4 |         9 |              121 |              1724 |                13 |                1    |                      0.9  |                  1845 |          16188 |               4 |              4 |        18033 |             134 |
| 50 | T16_REC_0009 |    16 |                     0.15 |                  0.93 |                   1 |           12 |       121 |              386 |              2258 |                28 |                1    |                      0.85 |                  2644 |          15389 |              12 |             12 |        18033 |             414 |
| 34 | T16_REC_0010 |    16 |                     0.37 |                  0.87 |                   1 |           22 |       441 |             1077 |              1856 |               154 |                1    |                      0.84 |                  2933 |          15100 |              22 |             22 |        18033 |            1231 |
