+----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------+
|    | vid_name     |   tow |   vid_presence_precision |   vid_presence_recall |   vid_num_predicted |   vid_num_gt |   vid_mse |   true_positives |   false_positives |   false_negatives |   individual_recall |   proportion_saved_frames |   num_included_frames |   saved_frames |   num_instances |   num_detected |   vid_frames |   num_gt_frames |
|----+--------------+-------+--------------------------+-----------------------+---------------------+--------------+-----------+------------------+-------------------+-------------------+---------------------+---------------------------+-----------------------+----------------+-----------------+----------------+--------------+-----------------|
| 15 | T16_REC_0001 |    16 |                     0.55 |                  0.79 |                   1 |            7 |        36 |              617 |               506 |               161 |                1    |                      0.94 |                  1123 |          16910 |               7 |              7 |        18033 |             778 |
| 20 | T16_REC_0002 |    16 |                     0.16 |                  0.79 |                   1 |            7 |        36 |              172 |               896 |                46 |                1    |                      0.94 |                  1068 |          16965 |               7 |              7 |        18033 |             218 |
| 30 | T16_REC_0003 |    16 |                     0.53 |                  0.86 |                   1 |            8 |        49 |             1345 |              1202 |               218 |                1    |                      0.86 |                  2547 |          15486 |               8 |              8 |        18033 |            1563 |
| 17 | T16_REC_0004 |    16 |                     0.29 |                  0.82 |                   1 |           15 |       196 |              606 |              1484 |               133 |                0.93 |                      0.88 |                  2090 |          15943 |              15 |             14 |        18033 |             739 |
| 40 | T16_REC_0005 |    16 |                     0.13 |                  0.73 |                   1 |           11 |       100 |              414 |              2880 |               157 |                1    |                      0.82 |                  3294 |          14739 |              11 |             11 |        18033 |             571 |
| 43 | T16_REC_0006 |    16 |                     0.1  |                  0.77 |                   1 |           11 |       100 |              222 |              1959 |                65 |                0.91 |                      0.88 |                  2181 |          15852 |              11 |             10 |        18033 |             287 |
| 28 | T16_REC_0007 |    16 |                     0.16 |                  0.86 |                   1 |            7 |        36 |              191 |              1009 |                30 |                1    |                      0.93 |                  1200 |          16833 |               7 |              7 |        18033 |             221 |
| 16 | T16_REC_0008 |    16 |                     0.14 |                  0.87 |                   1 |            4 |         9 |              116 |               720 |                18 |                1    |                      0.95 |                   836 |          17197 |               4 |              4 |        18033 |             134 |
| 50 | T16_REC_0009 |    16 |                     0.18 |                  0.85 |                   1 |           12 |       121 |              353 |              1633 |                61 |                1    |                      0.89 |                  1986 |          16047 |              12 |             12 |        18033 |             414 |
| 34 | T16_REC_0010 |    16 |                     0.47 |                  0.8  |                   1 |           22 |       441 |              988 |              1125 |               243 |                1    |                      0.88 |                  2113 |          15920 |              22 |             22 |        18033 |            1231 |
| 26 | T16_REC_0011 |    16 |                     0.21 |                  0.68 |                   1 |           15 |       196 |              364 |              1366 |               174 |                1    |                      0.9  |                  1730 |          16303 |              15 |             15 |        18033 |             538 |
| 10 | T16_REC_0012 |    16 |                     0.34 |                  0.68 |                   1 |           19 |       324 |              511 |              1011 |               242 |                1    |                      0.92 |                  1522 |          16511 |              19 |             19 |        18033 |             753 |
|  1 | T16_REC_0013 |    16 |                     0.13 |                  0.51 |                   1 |           10 |        81 |              165 |              1120 |               157 |                1    |                      0.93 |                  1285 |          16748 |              10 |             10 |        18033 |             322 |
| 11 | T16_REC_0014 |    16 |                     0.15 |                  0.7  |                   1 |            5 |        16 |              122 |               688 |                53 |                1    |                      0.96 |                   810 |          17223 |               5 |              5 |        18033 |             175 |
| 36 | T16_REC_0015 |    16 |                     0.43 |                  0.8  |                   1 |           10 |        81 |              387 |               511 |                94 |                0.9  |                      0.95 |                   898 |          17135 |              10 |              9 |        18033 |             481 |
| 45 | T16_REC_0016 |    16 |                     0.13 |                  0.66 |                   1 |            4 |         9 |              168 |              1083 |                85 |                1    |                      0.93 |                  1251 |          16782 |               4 |              4 |        18033 |             253 |
