  Rank    Score    Confidence threshold    Min presence threshold    Min detections per frame
------  -------  ----------------------  ------------------------  --------------------------
     1   0.9726                  0.5631                         2                           1
     2   0.9646                  0.5996                         2                           1
     3   0.9599                  0.6258                         2                           1
     4   0.9592                  0.3115                         2                           1
     5   0.9466                  0.2119                         1                           1
     6   0.9452                  0.0585                         3                           1
     7   0.9392                  0.0599                         2                           1
     8   0.855                   0.8115                         2                           1
     9   0.8372                  0                              1                           5
    10   0.6938                  0.0017                         1                           5
    11   0.5827                  0.2818                         2                           2
    12   0.5372                  0.5392                         1                           2
    13   0.5101                  0.2333                         3                           2
    14   0.4439                  0.6244                         1                           2
    15   0.3965                  0.03                           1                           5
    16   0.3436                  0.3811                         1                           3
    17   0.3032                  0.5                            2                           3
    18   0.3                     0.9987                         1                           1
    19   0.3                     0.7492                         2                           5
    20   0.3                     0.8739                         2                           3
    21   0.3                     0.1344                         2                           5
    22   0.3                     0.6819                         2                           5
    23   0.3                     0.5671                         1                           5
    24   0.3                     0.3299                         3                           5
    25   0.3                     0.9528                         3                           4
