  Rank    Score    Confidence threshold    Min presence threshold    Min detections per frame
------  -------  ----------------------  ------------------------  --------------------------
     1   0.9636                  0.1355                         2                           1
     2   0.8893                  0.0033                         2                           1
     3   0.884                   0.5832                         3                           1
     4   0.884                   0.5815                         3                           1
     5   0.884                   0.5824                         3                           1
     6   0.8837                  0.5682                         3                           1
     7   0.8835                  0.6003                         3                           1
     8   0.8653                  0.6336                         3                           1
     9   0.8617                  0.6573                         3                           1
    10   0.8613                  0.0003                         2                           3
    11   0.8009                  0.0005                         1                           1
    12   0.7                     0                              1                           5
    13   0.6725                  0.0017                         1                           5
    14   0.414                   0.2818                         2                           2
    15   0.3898                  0.2333                         3                           2
    16   0.3646                  0.5052                         2                           2
    17   0.3                     0.5                            2                           3
    18   0.3                     0.9987                         1                           1
    19   0.3                     0.2763                         3                           5
    20   0.3                     1                              3                           1
    21   0.3                     0.936                          2                           5
    22   0.3                     0.2144                         1                           5
    23   0.3                     0.689                          1                           5
    24   0.3                     0.6867                         3                           5
    25   0.3                     0.9369                         3                           3
