REC_0001,,REC_0002,,REC_0003,,REC_0004,,REC_0005,,REC_0006,,REC_0007,,REC_0008,,REC_0009,,REC_0010,,REC_0011,,REC_0012,,REC_0013,,REC_0014,,REC_0015,,REC_0016,,REC_0017,
Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame
11095,11151,281,326,725,747,0,283,116,228,770,784,514,538,5461,5486,4712,4725,133,196,702,771,179,228,2981,3019,4448,4482,4427,4467,4793,4800,5757,5793
14329,14342,7732,7756,4037,4048,505,542,1141,1327,1920,1927,3897,3916,7191,7229,5868,5888,296,417,2694,2705,2596,2632,3807,3832,5065,5077,4512,4537,4897,4945,,
14473,14621,12635,12651,6408,6460,1472,1490,1332,1348,4878,4890,6775,6811,8694,8725,6125,6158,911,961,5031,5059,2826,2852,4039,4073,6362,6382,6332,6434,11585,11729,,
14643,14678,12974,12989,9961,10738,5435,5468,4186,4220,9692,9704,11915,11932,14331,14367,7514,7549,1940,1983,5340,5370,3238,3275,4621,4677,14500,14530,6773,6795,17690,17740,,
14894,14932,16510,16561,11426,11440,6303,6339,4666,4722,10464,10478,12204,12252,,,9902,9931,3511,3519,6924,6964,3364,3412,6272,6288,16882,16956,11057,11086,,,,
14941,14954,16578,16607,13850,13871,6411,6432,8179,8201,10496,10518,15816,15866,,,10926,10959,3697,3727,7089,7150,4269,4282,7551,7575,,,11629,11648,,,,
15233,15701,17486,17517,15648,15684,6682,6701,8943,8960,10600,10650,16855,16875,,,11330,11362,5070,5118,7187,7237,7254,7267,8584,8637,,,12043,12097,,,,
,,,,17408,18030,10326,10369,9121,9178,11592,11614,,,,,15398,15432,5573,5600,8309,8317,10700,10761,9006,9035,,,12342,12384,,,,
,,,,,,14635,14655,10332,10342,15262,15323,,,,,15441,15463,5927,5960,11129,11137,11105,11170,9247,9263,,,14413,14500,,,,
,,,,,,15358,15424,14006,14021,16026,16058,,,,,16267,16323,6540,6579,11233,11261,11847,11913,17389,17410,,,15633,15684,,,,
,,,,,,16470,16518,15405,15440,16333,16363,,,,,16752,16787,8773,8813,14423,14475,11912,11928,,,,,,,,,,
,,,,,,17070,17107,,,,,,,,,17611,17671,8976,9090,15662,15713,12302,12365,,,,,,,,,,
,,,,,,17215,17233,,,,,,,,,,,11108,11151,16733,16765,12310,12327,,,,,,,,,,
,,,,,,17537,17563,,,,,,,,,,,12569,12604,17048,17058,13617,13665,,,,,,,,,,
,,,,,,17599,17618,,,,,,,,,,,13745,13774,17872,17917,14087,14135,,,,,,,,,,
,,,,,,,,,,,,,,,,,,13914,14180,,,16279,16302,,,,,,,,,,
,,,,,,,,,,,,,,,,,,13992,14029,,,16592,16639,,,,,,,,,,
,,,,,,,,,,,,,,,,,,14312,14349,,,17101,17152,,,,,,,,,,
,,,,,,,,,,,,,,,,,,15058,15097,,,17927,17954,,,,,,,,,,
,,,,,,,,,,,,,,,,,,15552,15600,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,15853,15891,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,17629,17688,,,,,,,,,,,,,,
