REC_0001,,REC_0002,,REC_0003,,REC_0004,,REC_0005,,REC_0006,,REC_0007,,REC_0008,,REC_0009,,REC_0010,,REC_0011,,REC_0012,,REC_0013,,REC_0014,,REC_0015,
Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame
12253,12363,1930,1981,700,746,1251,1284,671,686,2365,2423,0,53,4031,4069,490,523,9,62,4,56,24,38,887,930,2061,2099,,
15632,15687,2881,2925,13320,13352,3009,3019,8333,8375,3341,3366,1123,1161,4744,4789,958,1090,5808,5869,3785,3822,415,429,952,965,3831,3857,,
,,6217,6243,16061,16084,4348,4388,11614,11650,3443,3600,6553,6603,10605,10644,1010,1075,7268,7303,5601,5656,963,973,1270,1298,6555,6583,,
,,9576,9610,,,4433,4568,16942,16977,5065,5111,13953,13984,,,1103,1116,8879,8920,6436,6449,1126,1155,3991,4009,6684,6729,,
,,16044,16233,,,6007,6036,,,9072,9138,15891,15931,,,1149,1166,9782,9795,15166,15192,5013,5174,4221,4361,7058,7084,,
,,17494,17514,,,6740,6757,,,9686,9745,16514,16545,,,1175,1197,13368,13586,15853,15899,5187,5322,4371,4439,7638,7667,,
,,17542,17556,,,9579,9603,,,11097,11111,16693,16747,,,3610,3691,15455,15553,,,8821,8869,4392,4429,8236,8290,,
,,,,,,11756,11780,,,12332,12357,16724,16759,,,4860,5179,17603,17957,,,8954,9017,4456,4619,8351,8382,,
,,,,,,13582,13620,,,13148,13186,16861,16893,,,5199,5719,18006,18032,,,9393,9450,5289,5355,8384,8459,,
,,,,,,13718,13751,,,14519,14562,16931,16982,,,5326,5380,,,,,12157,12190,5700,5771,10008,10069,,
,,,,,,16113,16147,,,15642,15664,,,,,10650,10712,,,,,12925,12964,6280,6299,10473,10515,,
,,,,,,,,,,17871,17913,,,,,11096,11136,,,,,13484,13504,7116,7147,10581,10614,,
,,,,,,,,,,,,,,,,11672,11714,,,,,13739,13754,7167,7199,12095,12177,,
,,,,,,,,,,,,,,,,11672,11727,,,,,,,7754,7854,,,,
,,,,,,,,,,,,,,,,11969,12230,,,,,,,8000,8052,,,,
,,,,,,,,,,,,,,,,16780,16845,,,,,,,8161,8182,,,,
,,,,,,,,,,,,,,,,17118,17151,,,,,,,9150,9191,,,,
,,,,,,,,,,,,,,,,18009,18032,,,,,,,9621,9634,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11876,11920,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12989,13016,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15329,15361,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16288,16334,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17221,17279,,,,
