REC_0001,,REC_0002,,REC_0003,,REC_0004,,REC_0005,,REC_0006,,REC_0007,,REC_0008,,REC_0009,,REC_0010,,REC_0011,,REC_0012,,REC_0013,,REC_0014,,REC_0015,,REC_0016,,REC_0017,,REC_0018,,REC_0019,,REC_0020,
Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame,Start frame,End frame
14204,14214,2907,2931,7164,7177,3872,3956,596,639,3534,3547,2375,2411,2101,2130,2045,2047,2524,2547,230,265,1484,1513,385,428,821,878,1405,1437,1592,1637,72,91,461,710,561,620,215,272
14177,14194,8986,8993,7727,7794,5611,5660,1104,1155,4177,4194,4937,4995,3448,3489,4473,4493,3361,3403,1481,1499,1872,1900,1280,1308,1188,1272,3135,3464,4438,4451,318,707,810,826,2484,2530,218,302
15174,15243,16625,16646,7778,7807,5683,5780,3547,3578,4633,4668,7078,7091,6803,6904,8472,8521,3705,3735,1481,1534,2834,2918,2386,2422,1208,1272,3246,3301,7170,7335,463,557,1086,1177,3090,3136,277,315
15637,15647,17402,17480,8160,8190,5797,5826,3652,3700,5034,5058,7293,7334,8479,8491,9133,9216,4038,4061,1637,1671,4605,4641,3518,3617,1845,1894,3376,3400,8420,8456,668,730,1188,1242,4225,4338,290,315
16988,17006,17602,17630,8433,8498,5864,5897,4832,4856,14909,14938,10634,10678,11262,11405,9857,9919,4607,4669,1758,1797,5145,5281,4154,4208,1966,2049,3530,3557,9626,9639,795,1363,1590,1707,4800,4857,316,397
,,17830,17867,8735,8750,5911,6020,5234,5285,,,11068,11101,11432,11546,9935,9960,4708,4729,2900,2964,5408,5458,6737,6761,2974,3053,4309,4463,10863,11066,1372,1403,1748,1759,5266,5339,414,449
,,,,9314,9343,6047,6103,5262,5287,,,11147,11173,13152,13169,11085,11397,7043,7104,5231,5272,5473,5537,7134,7180,3511,3583,7629,7679,11555,11602,1437,1608,1774,1859,6474,6511,1016,1066
,,,,9317,9383,6139,6227,5291,5329,,,11705,11745,13155,13184,11419,11474,10940,10963,8462,8549,5517,5563,7423,7439,5651,5744,9045,9073,11710,11726,2072,2159,2896,2914,6861,6887,1084,1218
,,,,10164,10239,6246,6279,5384,5420,,,16099,16126,14247,14268,11518,11565,12448,12721,9198,9389,5563,5638,7743,7763,6542,6606,9746,10177,12400,12441,4081,4102,4178,4189,7347,7411,1323,1411
,,,,10290,10420,6301,6597,5401,5439,,,16155,16163,14321,14363,12470,12569,13674,13719,9359,9414,5582,5632,7828,7889,6727,6810,11379,11450,12541,12566,4124,4146,5076,5101,8180,8224,1425,1863
,,,,10442,10468,6616,6744,6065,6151,,,16375,16540,15214,15256,14353,14391,14827,14881,10583,10766,5669,5740,10953,10974,6777,6877,11428,11482,12737,12823,4510,4532,5139,5156,9925,9969,1825,1902
,,,,11081,11122,6755,6833,6177,6261,,,16441,16540,15259,15276,16157,16188,16267,16316,11589,11632,5693,5741,12609,12628,7560,7624,11888,11918,13016,13088,5129,5179,6916,6959,9962,10005,1915,2011
,,,,13493,13508,6866,7027,6525,6574,,,,,15846,15884,16575,16647,17722,17738,14106,14142,5906,5985,12695,12771,8085,8102,13334,13378,13118,13149,5201,5217,7254,7292,10023,10045,2620,2715
,,,,14466,14481,8320,8377,6805,6823,,,,,16213,16225,,,,,15163,15251,7008,7146,13405,13467,9435,9483,13396,13467,13166,13239,5203,5217,7876,7932,10066,10119,2644,3198
,,,,14470,14520,10982,11001,6905,6933,,,,,16235,16331,,,,,17247,17464,9810,9841,14048,14108,10020,10094,13849,13873,13674,13822,5723,5776,7907,7916,10511,10587,3104,3131
,,,,14517,14547,11295,11311,7845,7953,,,,,17312,17338,,,,,,,10200,10253,14112,14282,10263,10322,14229,14325,13870,14108,6214,6262,8382,8402,12279,12309,3241,3271
,,,,14799,14842,15364,15403,8290,8330,,,,,,,,,,,,,10860,10896,14296,14340,10424,10489,15635,15753,13963,14058,6890,6937,10266,10342,13252,13280,,
,,,,15138,15184,16010,16042,13248,13265,,,,,,,,,,,,,14607,14626,15488,15571,10766,10802,16860,16975,14118,14236,7787,7853,10554,10582,14395,14466,,
,,,,,,16322,16715,15465,15517,,,,,,,,,,,,,17259,17289,15661,15672,16352,16452,17407,17495,14249,14337,7892,7926,10808,10826,15473,16118,,
,,,,,,,,16420,16543,,,,,,,,,,,,,,,17068,17081,,,,,16206,16239,8159,8482,12288,12463,16440,16552,,
,,,,,,,,16555,16565,,,,,,,,,,,,,,,17420,17488,,,,,16962,17254,8429,8494,12437,12452,16551,16601,,
,,,,,,,,16672,16702,,,,,,,,,,,,,,,,,,,,,17280,17493,8494,8562,12676,12701,17091,17315,,
,,,,,,,,16999,17023,,,,,,,,,,,,,,,,,,,,,17820,17893,8585,8874,12803,12831,17158,17233,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17892,17963,8603,8678,14064,14114,17355,17381,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10038,10058,14622,14656,17493,17503,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10529,10582,14712,14850,17601,17619,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10925,11004,15236,15304,17685,17713,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12962,13010,,,17743,17767,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13084,13106,,,17916,17981,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13066,13194,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13680,13746,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14994,15036,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15634,15686,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15892,15977,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16502,16633,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16758,16801,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16879,17048,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16938,17134,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17117,17228,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17152,17236,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17275,17359,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17439,17482,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17753,17828,,,,,,
